Bus Stop ID,Location,Direction,Route Number,Route Name,Benches,Bench Responsibility,Trash Cans,Trash Can Responsibility,Shelters,Shelter Responsibility,Longitude,Latitude,ObjectId,x,y
422,Jefferson & Dickerson,Eastbound,9,Jefferson,false, ,true,Third-Party,false, ,-82.9532539,42.370422,1739,-9234313.98379314,5216629.38340332
425,Jefferson & Dickerson,Westbound,9,Jefferson,false, ,true,Third-Party,true,DDOT,-82.9531458,42.3706849,1740,-9234301.95015618,5216668.99604962
426,Jefferson & St Jean,Westbound,9,Jefferson,false, ,true,Third-Party,false, ,-82.9710241,42.3669541,1741,-9236292.15340843,5216106.8705977
427,Jefferson & E Grand Bl,Westbound,9,Jefferson,false, ,true,Third-Party,true,DDOT,-83.0028728,42.3469001,1742,-9239837.53447486,5213085.87499394
429,Redford Plaza,Eastbound,"27, 43","Joy, Schoolcraft",false, ,false, ,false, ,-83.276538,42.3636251,1743,-9270301.8051867,5215605.31316212
430,Joy & Telegraph,Eastbound,27,Joy,false, ,false, ,false, ,-83.2737709,42.3567659,1744,-9269993.77302372,5214571.96866134
432,Joy & Spinoza,Eastbound,27,Joy,false, ,false, ,false, ,-83.249594,42.3572221,1745,-9267302.41282676,5214640.69209023
433,Joy & Southfield,Eastbound,27,Joy,false, ,false, ,false, ,-83.215006,42.357767,1746,-9263452.09427921,5214722.778225
434,Joy & Greenfield,Eastbound,27,Joy,false, ,false, ,false, ,-83.1974678,42.358026,1747,-9261499.75078577,5214761.79537474
435,Joy & Schaefer,Eastbound,27,Joy,false, ,false, ,false, ,-83.1771012,42.358473,1748,-9259232.55124458,5214829.13423154
436,Joy & Wyoming,Eastbound,27,Joy,false, ,false, ,false, ,-83.157304,42.3588591,1749,-9257028.73702145,5214887.29911958
437,Joy & Livernois,Eastbound,27,Joy,false, ,false, ,false, ,-83.1380479,42.3597179,1750,-9254885.15777479,5215016.6762257
438,Tireman & Beechwood,Eastbound,"27, 47","Joy, Tireman",false, ,false, ,false, ,-83.1189139,42.3531559,1751,-9252755.17063795,5214028.16429407
441,W Grand Bl & Michigan,Southbound,27,Joy,false, ,false, ,false, ,-83.0953529,42.33107,1752,-9250132.37211537,5210701.8611032
443,Lafayette & Trumbull,Eastbound,"1, 27","Vernor, Joy",false, ,false, ,false, ,-83.0619341,42.3255429,1753,-9246412.20831645,5209869.62087736
444,Lafayette & Trumbull,Westbound,27,Joy,false, ,false, ,false, ,-83.0627841,42.325374,1754,-9246506.82988362,5209844.18999853
445,W Grand Bl & Lafayette,Northbound,27,Joy,false, ,false, ,false, ,-83.085166,42.3175799,1755,-9248998.37159461,5208670.72481161
446,W Grand Bl & Michigan,Northbound,27,Joy,false, ,false, ,false, ,-83.0951929,42.331793,1756,-9250114.56099684,5210810.73186317
447,W Grand Bl & Warren,Northbound,"27, 47","Joy, Tireman",false, ,false, ,false, ,-83.1077391,42.345099,1757,-9251511.19759223,5212814.59897839
448,Beechwood & Tireman,Westbound,27,Joy,false, ,false, ,false, ,-83.1194079,42.3533021,1758,-9252810.1624664,5214050.18701086
449,Joy & Livernois,Westbound,27,Joy,false, ,false, ,false, ,-83.139167,42.35941,1759,-9255009.73541693,5214970.29128672
450,Joy & Wyoming,Westbound,27,Joy,false, ,false, ,false, ,-83.158204,42.359046,1760,-9257128.92456317,5214915.45521164
451,Joy & Schaefer,Westbound,27,Joy,false, ,false, ,false, ,-83.17799,42.3586281,1761,-9259331.492008,5214852.49957097
452,Joy & Greenfield,Westbound,27,Joy,false, ,true,Third-Party,true,DDOT,-83.197442,42.358242,1762,-9261496.87874291,5214794.33489674
453,Joy & Southfield,Westbound,27,Joy,false, ,false, ,false, ,-83.218052,42.3579491,1763,-9263791.17344816,5214750.21072933
454,Joy & Spinoza,Westbound,27,Joy,false, ,false, ,false, ,-83.2507409,42.3573989,1764,-9267430.08515075,5214667.32594253
456,Joy & Telegraph,Westbound,27,Joy,false, ,false, ,false, ,-83.273393,42.356979,1765,-9269951.70538815,5214604.07066566
465,Linwood & Fenkell,Southbound,29,Linwood,false, ,false, ,false, ,-83.1271129,42.4025841,1766,-9253667.87914296,5221476.66213087
467,Linwood & W Grand Bl,Southbound,29,Linwood,false, ,false, ,false, ,-83.099699,42.3598609,1767,-9250616.17775431,5215038.21916195
469,Trumbull & Warren,Southbound,29,Linwood,true,DDOT,true,City of Detroit,false, ,-83.078693,42.3518281,1768,-9248277.8005307,5213828.15457823
474,Trumbull & Michigan,Northbound,29,Linwood,false, ,false, ,false, ,-83.0669259,42.331706,1769,-9246967.89295059,5210797.63116607
475,Trumbull & Warren,Northbound,29,Linwood,false, ,false, ,false, ,-83.0788391,42.3525321,1770,-9248294.06430831,5213934.1992696
477,Linwood & W Grand Bl,Northbound,29,Linwood,false, ,true,City of Detroit,false, ,-83.1000931,42.360667,1771,-9250660.04876563,5215159.65896663
481,Livernois & 8 Mile,Southbound,30,Livernois,false, ,true,City of Detroit,false, ,-83.1421771,42.445217,1772,-9255344.81821617,5227905.86857712
482,Livernois & Ewald Cir,Southbound,30,Livernois,false, ,true,City of Detroit,false, ,-83.1399321,42.391118,1773,-9255094.90595934,5219748.27545955
483,Livernois & Grand River,Southbound,30,Livernois,false, ,false, ,false, ,-83.1389659,42.3681499,1774,-9254987.34906734,5216287.04001231
484,Livernois & Warren,Southbound,30,Livernois,false, ,true,Third-Party,false, ,-83.1302319,42.344229,1775,-9254015.08463475,5212683.56509922
485,Livernois & I-94 Service Dr,Southbound,30,Livernois,false, ,false, ,false, ,-83.1245289,42.3366281,1776,-9253380.22957875,5211538.84288922
486,Livernois & Michigan,Southbound,30,Livernois,false, ,false, ,false, ,-83.120273,42.3308349,1777,-9252906.46495789,5210666.4595531
487,Jefferson & Livernois,Southbound,30,Livernois,false, ,false, ,false, ,-83.099327,42.2998871,1778,-9250574.76690373,5206007.46909269
488,Jefferson & Brennan,Westbound,"30, 41","Livernois, Schaefer",false, ,false, ,false, ,-83.1272269,42.2820189,1779,-9253680.56956491,5203318.57020853
491,Livernois & Michigan,Northbound,30,Livernois,false, ,true,City of Detroit,true,DDOT,-83.1202688,42.331434,1780,-9252905.99741603,5210756.67278168
